Chart,Purpose,Element,Interactions,value
StoryMap,Learning,3D Scene,Zooming,0.025
StoryMap,Learning,3D Scene,Highlighting,0.025
StoryMap,Learning,3D Scene,Panning,0.025
StoryMap,Learning,3D Scene,Tooltip,0.025
StoryMap,Learning,3D Scene,Selecting,0.025
StoryMap,Learning,3D Scene,Map overlay,0.025
StoryMap,Learning,3D Scene,Animation,0.025
StoryMap,Learning,Overview Map,Clicking,0.025
StoryMap,Learning,Overview Map,Highlighting,0.025
StoryMap,Learning,Overview Map,Panning,0.025
StoryMap,Learning,Overview Map,Tooltip,0.025
StoryMap,Learning,Overview Map,Selecting,0.025
StoryMap,Learning,Overview Map,Map overlay,0.025
StoryMap,Learning,Overview Map,Animation,0.025
StoryMap,Learning,Overview Map,Zooming,0.025
StoryMap,Learning,Text,No,0.2
StoryMap,Learning,Image,No,0.2
StoryMap,Learning,Time Slider,Animation,0.1
StoryMap,Learning,Time Slider,Selecting,0.1
StoryMap,Learning,Toolbar,Clicking,0.1
StoryMap,Learning,Toolbar,Selecting,0.1
StoryMap,Learning,Overview Map,Clicking,0.0222
StoryMap,Learning,Overview Map,Panning,0.0222
StoryMap,Learning,Overview Map,Tooltip,0.0222
StoryMap,Learning,Overview Map,Selecting,0.0222
StoryMap,Learning,Overview Map,Querying,0.0222
StoryMap,Learning,Overview Map,Animation,0.0222
StoryMap,Learning,Overview Map,Zooming,0.0222
StoryMap,Learning,Overview Map,Map overlay,0.0222
StoryMap,Learning,Overview Map,Juxtaposition,0.0222
StoryMap,Learning,Grid Map,Clicking,0.04
StoryMap,Learning,Grid Map,Panning,0.04
StoryMap,Learning,Grid Map,Tooltip,0.04
StoryMap,Learning,Grid Map,Selecting,0.04
StoryMap,Learning,Grid Map,Querying,0.04
StoryMap,Learning,Text,No,0.2
StoryMap,Learning,Image,Zooming,0.1
StoryMap,Learning,Image,No,0.1
